ts_code,code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,1K_amount,10K_amount,1M_amount,100M_amount
603392.SH,603392,万泰生物,20200429,12.6,12.6,12.6,12.6,8.75,3.85,44.0,1288.86,1623.964,162.3964,1.623964,0.01623964
603392.SH,603392,万泰生物,20200430,13.86,13.86,13.86,13.86,12.6,1.26,10.0,441.38,611.753,61.17530000000001,0.6117530000000001,0.00611753
603392.SH,603392,万泰生物,20200506,15.25,15.25,15.25,15.25,13.86,1.39,10.0289,333.89,509.182,50.9182,0.509182,0.00509182
603392.SH,603392,万泰生物,20200507,16.78,16.78,16.78,16.78,15.25,1.53,10.0328,292.41,490.664,49.0664,0.490664,0.00490664
603392.SH,603392,万泰生物,20200508,18.46,18.46,18.46,18.46,16.78,1.68,10.0119,407.05,751.414,75.1414,0.751414,0.00751414
603392.SH,603392,万泰生物,20200511,20.31,20.31,20.31,20.31,18.46,1.85,10.0217,730.88,1484.417,148.4417,1.484417,0.0148441699999999
603392.SH,603392,万泰生物,20200512,22.34,22.34,22.34,22.34,20.31,2.03,9.9951,700.95,1565.922,156.5922,1.5659219999999998,0.0156592199999999
603392.SH,603392,万泰生物,20200513,24.57,24.57,24.57,24.57,22.34,2.23,9.9821,1100.8,2704.666,270.4666,2.7046660000000005,0.02704666
603392.SH,603392,万泰生物,20200514,27.03,27.03,27.03,27.03,24.57,2.46,10.0122,637.4,1722.892,172.2892,1.722892,0.0172289199999999
603392.SH,603392,万泰生物,20200515,29.73,29.73,29.73,29.73,27.03,2.7,9.9889,1320.81,3926.768,392.6768,3.926768,0.03926768
603392.SH,603392,万泰生物,20200518,32.7,32.7,32.7,32.7,29.73,2.97,9.9899,745.34,2437.262,243.7262,2.437262,0.02437262
603392.SH,603392,万泰生物,20200519,35.97,35.97,35.97,35.97,32.7,3.27,10.0,817.17,2939.36,293.93600000000004,2.93936,0.0293936
603392.SH,603392,万泰生物,20200520,39.57,39.57,39.57,39.57,35.97,3.6,10.0083,1217.27,4816.737,481.6737,4.816737,0.04816737
603392.SH,603392,万泰生物,20200521,43.53,43.53,43.53,43.53,39.57,3.96,10.0076,717.27,3122.276,312.2276,3.122276,0.03122276
603392.SH,603392,万泰生物,20200522,47.88,47.88,47.88,47.88,43.53,4.35,9.9931,2770.5,13265.154,1326.5154,13.265154,0.13265154
603392.SH,603392,万泰生物,20200525,52.67,52.67,52.67,52.67,47.88,4.79,10.0042,2127.85,11207.386,1120.7386,11.207386,0.11207386
603392.SH,603392,万泰生物,20200526,57.94,57.94,57.94,57.94,52.67,5.27,10.0057,1730.14,10024.431,1002.4431,10.024431,0.10024431
603392.SH,603392,万泰生物,20200527,63.73,63.73,63.73,63.73,57.94,5.79,9.9931,1854.99,11821.851,1182.1851,11.821851000000002,0.11821851
603392.SH,603392,万泰生物,20200528,70.1,70.1,70.1,70.1,63.73,6.37,9.9953,1600.9,11222.309,1122.2309,11.222309,0.11222309
603392.SH,603392,万泰生物,20200529,77.11,77.11,77.11,77.11,70.1,7.01,10.0,2785.55,21479.376,2147.9376,21.479376,0.21479376
603392.SH,603392,万泰生物,20200601,84.82,84.82,84.82,84.82,77.11,7.71,9.9987,1132.05,9602.048,960.2048,9.602048000000002,0.09602048
603392.SH,603392,万泰生物,20200602,93.3,93.3,93.3,93.3,84.82,8.48,9.9976,3224.92,30088.504,3008.8504000000003,30.088504000000004,0.30088504
603392.SH,603392,万泰生物,20200603,102.63,102.63,102.63,102.63,93.3,9.33,10.0,2684.81,27554.205,2755.4205,27.554205000000003,0.27554205
603392.SH,603392,万泰生物,20200604,112.89,112.89,112.89,112.89,102.63,10.26,9.9971,2947.19,33270.828,3327.0828,33.270828,0.33270828
603392.SH,603392,万泰生物,20200605,124.18,124.18,124.18,124.18,112.89,11.29,10.0009,40697.95,505387.143,50538.7143,505.387143,5.05387143
603392.SH,603392,万泰生物,20200608,136.6,136.6,136.6,136.6,124.18,12.42,10.0016,14507.26,198169.172,19816.9172,198.169172,1.98169172
603392.SH,603392,万泰生物,20200609,144.02,150.13,130.5,145.0,136.6,8.4,6.1493,358313.31,5018070.526,501807.0526,5018.070526,50.18070526
603392.SH,603392,万泰生物,20200610,136.0,137.6,131.5,133.06,145.0,-11.94,-8.2345,161979.6,2175755.298,217575.5298,2175.755298,21.75755298
603392.SH,603392,万泰生物,20200611,137.5,143.6,135.7,139.7,133.06,6.64,4.9902,149055.02,2082361.753,208236.1753,2082.361753,20.82361753
603392.SH,603392,万泰生物,20200612,141.3,153.67,140.13,153.67,139.7,13.97,10.0,90444.61,1338238.686,133823.8686,1338.238686,13.38238686
603392.SH,603392,万泰生物,20200615,163.0,169.04,155.01,169.04,153.67,15.37,10.002,137676.36,2239789.691,223978.9691,2239.789691,22.39789691
603392.SH,603392,万泰生物,20200616,162.0,165.56,155.0,162.85,169.04,-6.19,-3.6619,111058.55,1793614.408,179361.4408,1793.614408,17.936144080000002
603392.SH,603392,万泰生物,20200617,163.8,170.0,159.21,164.95,162.85,2.1,1.2895,91117.78,1505694.653,150569.46529999998,1505.6946529999998,15.056946529999998
603392.SH,603392,万泰生物,20200618,161.54,162.98,153.88,158.3,164.95,-6.65,-4.0315,74344.63,1174468.836,117446.8836,1174.4688359999998,11.744688359999998
603392.SH,603392,万泰生物,20200619,157.66,161.48,156.25,159.59,158.3,1.29,0.8149,61210.08,974795.975,97479.5975,974.795975,9.74795975
603392.SH,603392,万泰生物,20200622,158.0,159.5,153.2,158.3,159.59,-1.29,-0.8083,53583.69,837713.406,83771.3406,837.713406,8.37713406
603392.SH,603392,万泰生物,20200623,157.77,157.95,147.66,150.39,158.3,-7.91,-4.9968,72358.16,1100687.584,110068.7584,1100.687584,11.00687584
603392.SH,603392,万泰生物,20200624,150.88,159.44,150.88,154.29,150.39,3.9,2.5933,52765.45,817497.756,81749.77560000001,817.4977560000001,8.17497756
603392.SH,603392,万泰生物,20200629,156.88,168.8,152.0,166.65,154.29,12.36,8.0109,70891.39,1149463.67,114946.367,1149.46367,11.4946367
603392.SH,603392,万泰生物,20200630,166.89,175.0,162.0,165.0,166.65,-1.65,-0.9901,66755.19,1121992.118,112199.2118,1121.992118,11.219921180000002
603392.SH,603392,万泰生物,20200701,166.61,172.33,164.9,169.06,165.0,4.06,2.4606,55742.43,937293.024,93729.3024,937.293024,9.37293024
603392.SH,603392,万泰生物,20200702,169.0,169.5,162.5,165.14,169.06,-3.92,-2.3187,49793.47,822295.415,82229.5415,822.295415,8.22295415
